Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000625,"CD8-positive, alpha-beta T cell",IL15,cytokine,Unknown,14,10.79
CL_0000115,endothelial cell,TGFB,cytokine,Unknown,14,3.03
CL_0000084,T cell,CCL2,cytokine,Unknown,14,0.92
CL_0000134,mesenchymal cell,CXCL12,cell,Positive,14,28.06
CL_0000738,leukocyte,CXCL8,cytokine,Positive,14,1.31
CL_0000235,macrophage,TGFB,cytokine,Negative,14,2.16
CL_0000763,myeloid cell,CSF2,cytokine,Positive,14,9.28
CL_0000138,chondrocyte,TNF,cell,Positive,14,1.72
CL_0000127,astrocyte,FGF2,cell,Positive,14,9.1
CL_0000775,neutrophil,CXCL2,cell,Positive,14,14.2
CL_0000624,"CD4-positive, alpha-beta T cell",IL10,cytokine,Positive,14,0.59
CL_0000798,gamma-delta T cell,IFNG,cell,Positive,14,10.92
CL_0000775,neutrophil,IL17,cytokine,Unknown,14,3.85
CL_0000182,hepatocyte,CCL4,cytokine,Positive,14,37.16
CL_0000775,neutrophil,CXCL1,cytokine,Positive,14,10.82
CL_0000771,eosinophil,IL33,cytokine,Positive,14,8.55
CL_0000771,eosinophil,CSF2,cytokine,Unknown,14,4.57
CL_0000653,glomerular visceral epithelial cell,TGFB1,cytokine,Positive,14,16.17
CL_0000138,chondrocyte,IL1,cell,Positive,14,6.96
CL_0000235,macrophage,IL1B,cytokine,Unknown,14,1.45
CL_0000057,fibroblast,IL6,cytokine,Unknown,14,2.07
CL_0000499,stromal cell,CXCL12,cell,Positive,14,19.75
CL_0000775,neutrophil,IL10,cytokine,Negative,14,2.97
CL_0000576,monocyte,IL1B,cytokine,Unknown,14,2.34
CL_0000092,osteoclast,TGFB,cytokine,Positive,14,2.33
CL_0000097,mast cell,IL3,cytokine,Positive,14,12.3
CL_0000138,chondrocyte,TGFB,cytokine,Positive,13,2.36
CL_0002563,intestinal epithelial cell,CXCL8,cell,Positive,13,30.18
CL_0000542,lymphocyte,TNF,cytokine,Positive,13,0.3
CL_0000540,neuron,IL1B,cytokine,Positive,13,2.66
CL_0000624,"CD4-positive, alpha-beta T cell",IL12,cytokine,Positive,13,1.14
CL_0000094,granulocyte,CSF2,cytokine,Positive,13,6.04
CL_0000542,lymphocyte,IL4,cytokine,Positive,13,0.67
CL_0000232,erythrocyte,EPO,cytokine,Unknown,13,146.94
CL_0000775,neutrophil,IL6,cell,Positive,13,0.47
CL_0000057,fibroblast,IFNG,cytokine,Positive,13,0.23
CL_0000129,microglial cell,IL10,cell,Positive,13,3.25
CL_0000775,neutrophil,IL1,cytokine,Positive,13,0.63
CL_0000623,natural killer cell,IL18,cytokine,Positive,13,4.7
CL_0000901,Tr1 cell,IL10,cell,Positive,13,33.83
CL_0000236,B cell,IL1,cytokine,Unknown,13,2.66
CL_0000817,precursor B cell,IL7,cytokine,Unknown,13,227.79
CL_0000233,platelet,PPBP,cytokine,Positive,13,9.78
CL_0000738,leukocyte,IFNG,cytokine,Unknown,13,0.89
CL_0000625,"CD8-positive, alpha-beta T cell",TGFB,cytokine,Positive,13,0.7
CL_0000134,mesenchymal cell,TGFB,cell,Positive,13,5.39
CL_0000624,"CD4-positive, alpha-beta T cell",IL4,cytokine,Unknown,13,2.14
CL_0000084,T cell,CXCL10,cytokine,Unknown,13,4.9
CL_0000084,T cell,IL21,cytokine,Unknown,13,2.71
CL_0000576,monocyte,IL1A,cell,Positive,13,4.85
CL_0000094,granulocyte,Monocyte-CSF,cell,Positive,13,652.31
CL_0000136,fat cell,CCL2,cell,Positive,13,7.61
CL_0000499,stromal cell,IL7,cell,Positive,13,16.08
CL_0000815,regulatory T cell,IL10,cell,Positive,13,10.08
CL_0000235,macrophage,SPP1,cell,Positive,13,4.39
CL_0000545,T-helper 1 cell,IL10,cytokine,Positive,13,1.29
CL_0000160,goblet cell,IL13,cytokine,Positive,13,113.94
CL_0000451,dendritic cell,IL2,cell,Positive,13,1.89
